contract,sky,date
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-21
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-21
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-21
0x173a1c04b79ed9266721c1154daa29addc0b9558,2513942423.337628,2025-06-20
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2108116860.60198,2025-06-20
0xfc48fbca739079aab08216c4d5e506b96593753d,952485834.1613091,2025-06-20
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382529140.10759944,2025-06-20
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30929989.305382747,2025-06-20
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28831130.836761866,2025-06-20
0x555230eca835a808518ec3ea3082f05502bab850,17323228.48429569,2025-06-20
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-20
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2657141.6732223765,2025-06-20
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-20
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-20
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-20
0x173a1c04b79ed9266721c1154daa29addc0b9558,2513704745.2810726,2025-06-19
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2107896925.9443974,2025-06-19
0xfc48fbca739079aab08216c4d5e506b96593753d,952383411.7497874,2025-06-19
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382529140.10759944,2025-06-19
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30925510.638396967,2025-06-19
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28831130.836761866,2025-06-19
0x555230eca835a808518ec3ea3082f05502bab850,17322289.48429569,2025-06-19
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-19
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2652141.6732223765,2025-06-19
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-19
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-19
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-19
0x173a1c04b79ed9266721c1154daa29addc0b9558,2513301229.8249545,2025-06-18
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2105494428.0113297,2025-06-18
0xfc48fbca739079aab08216c4d5e506b96593753d,952365315.368161,2025-06-18
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382406609.4282929,2025-06-18
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30866979.469136663,2025-06-18
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28831130.836761866,2025-06-18
0x555230eca835a808518ec3ea3082f05502bab850,17322289.48429569,2025-06-18
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-18
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2602141.6732223765,2025-06-18
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-18
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-18
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-18
0x173a1c04b79ed9266721c1154daa29addc0b9558,2501923467.778771,2025-06-17
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2105494428.0113297,2025-06-17
0xfc48fbca739079aab08216c4d5e506b96593753d,952347348.4992197,2025-06-17
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382382386.4875232,2025-06-17
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30866979.469136663,2025-06-17
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28831130.836761866,2025-06-17
0x555230eca835a808518ec3ea3082f05502bab850,16912413.847271655,2025-06-17
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3726704.6657223767,2025-06-17
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-17
